"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
Atmospheric fraction CO2 since 1765 ,0.471211992,0.462621049,0.451558611,0.443935739,0.436949771,0.429695556,0.421420518,0.411237028,0.402739214,0.394043463,0.384276153,0.377898095,0.372354551,0.367422454,0.362987503,0.35897106,0.355311165,0.415996856,0.436568536,0.45387572,0.470597839,0.487973121,0.506425177,0.524852112,0.542338069,,,,,,
Atmospheric fraction CO2 since 2020 ,0,0.369695314,0.335642288,0.325412451,0.315390221,0.302472644,0.284460565,0.258412103,0.236093712,0.211874469,0.182375396,0.161184867,0.142766935,0.126380481,0.111645751,0.098301477,0.086141801,0.287764606,0.372347671,0.427346797,0.469805549,0.506434101,0.539771786,0.568688611,0.592705261,,,,,,
Permanent C box,150.093,160.7019354,169.0384861,176.1550909,182.2741846,187.3950749,191.370323,193.9077157,195.6571285,196.616152,196.6149453,196.613745,196.6125506,196.6113624,196.6101808,196.6090061,196.6078384,211.5874653,227.2811023,244.0264336,262.2946137,282.6688351,305.7421803,331.6842535,360.3610106,,,,,,
Slow C box,102.698,111.0106768,117.0900624,121.991735,125.9349294,128.9147989,130.7785688,131.2273143,130.9186748,129.8483298,127.8434135,125.8796818,123.9556773,122.0708748,120.224869,118.4172024,116.6473403,130.1281695,144.3143866,159.5724657,176.3933021,195.3796097,217.1449715,241.8743831,269.4464939,,,,,,
Medium C box,39.534,42.43756301,43.08760293,42.88302966,42.08583584,40.68162094,38.49744866,35.21916558,31.68052131,27.85899548,23.5505952,19.92596277,16.87324113,14.30058979,12.1312282,10.30073786,8.755057714,25.26382124,40.47684245,55.38772738,70.94197414,88.08620493,107.7022957,130.136886,155.3947874,,,,,,
Fast C box,6.1865,6.014512616,5.347550163,4.92482964,4.532498454,4.051177524,3.379859681,2.403013548,1.711223357,1.047254607,0.251638687,0.060916676,0.014851335,0.00364744,0.000902748,0.000225241,5.66702E-05,10.02887621,13.68537524,16.44063678,19.59075086,23.66298513,29.00910296,35.6511596,43.54316984,,,,,,
Temp Box 1,0.1477,0.164755795,0.182290535,0.200071197,0.217914867,0.235644059,0.253067606,0.269961405,0.286219211,0.301776639,0.316546835,0.330599169,0.344021103,0.356884416,0.369250283,0.381171462,0.392693649,0.406109792,0.421523435,0.438778871,0.45785636,0.478829532,0.501839179,0.527026033,0.554499106,,,,,,
Temp Box 2,1.099454,1.245153966,1.32613062,1.377944357,1.41307677,1.435254727,1.444771817,1.440021469,1.425717853,1.405056989,1.377883049,1.351224662,1.328035011,1.308543971,1.292401912,1.279179609,1.268478622,1.363188379,1.49531846,1.633187052,1.773600185,1.919881669,2.076152496,2.243751402,2.42175224,,,,,,
Alpha,0.447153591,0.516153807,0.574799348,0.622214897,0.664264408,0.702301924,0.73641567,0.765986519,0.786303536,0.80230977,0.814701652,0.818978091,0.823080547,0.827390886,0.831969515,0.836803466,0.841865291,0.79739363,0.873151413,0.960918752,1.058640458,1.168281782,1.29424211,1.445041155,1.628880179,,,,,,
IFR,43.95913652,45.33841486,46.4031288,47.20580573,47.88041225,48.46383371,48.96734552,49.38982377,49.67299833,49.89219501,50.05960971,50.11693094,50.17170413,50.22902672,50.28966546,50.35340645,50.41984744,49.82522907,50.82374927,51.89880367,53.00567147,54.14917433,55.3517032,56.6575488,58.0837759,,,,,,
cacc,334.9871986,371.9021426,406.3449837,433.3353129,457.2280046,479.1863298,499.7812803,519.3550054,533.8305505,546.4859446,558.0162758,563.7965623,568.8205481,573.290394,577.3096877,580.949697,584.2665754,529.2685362,549.4790937,572.0560842,595.3502612,618.8706406,642.861467,669.3295153,699.3520552,,,,,,
ccatot,633.5,692.0668305,740.9086853,779.2899981,812.0554529,840.2290021,863.8074805,882.1122145,893.7980985,901.8566765,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,906.2768685,975.2368003,1047.483348,1124.570902,1208.668276,1302.460017,1408.676198,1528.097517,,,,,,
Share of output net zero emissions,0.109061732,0.095430263,0.083747326,0.073701141,0.065034726,0.057535467,0.051026818,0.047449565,0.044223235,0.041305879,0.038661304,0.036258188,0.034069354,0.032071148,0.030242935,0.028566662,0.027026495,0.02586233,0.024786978,0.023791972,0.022869789,0.022013735,0.021217841,0.020476773,0.019785751,,,,,,
Growth p.c. cons (log),0,-0.029416182,-0.017976035,0.006048127,0.014897053,0.018605388,0.021354512,0.026283417,0.023454843,0.023214218,0.028543477,0.023857086,0.021411976,0.020084447,0.019351577,0.018983739,0.018926123,0.020423928,0.018976005,0.018527289,0.019004658,0.020846194,0.02550573,0.037730277,-0.011939378,,,,,,
Change interest rate,0,-0.002171023,0.010416737,0.022371399,0.007954771,0.003071057,0.002159652,0.004230292,-0.003139466,-0.000681069,0.004610167,-0.004904853,-0.00277579,-0.001714242,-0.00114947,-0.000802843,-0.000508286,0.00096921,-0.001829386,-0.000880294,-6.68E-07,0.001295136,0.003972082,0.011158688,-0.047640959,,,,,,
Precautionary effect,0,-0.000225625,-0.00045125,-0.000676875,-0.0009025,-0.001128125,-0.00135375,-0.001579375,-0.001805,-0.002030625,-0.00225625,-0.002481875,-0.0027075,-0.002933125,-0.00315875,-0.003384375,-0.00361,-0.003835625,-0.00406125,-0.004286875,-0.0045125,-0.004738125,-0.00496375,-0.005189375,-0.005415,,,,,,
Long interest rate(%),0,-0.002171023,0.003037345,0.012230601,0.018815922,0.023381325,0.02678487,0.0298203,0.03170444,0.033094208,0.034667039,0.035508005,0.035977494,0.036242889,0.036388266,0.036460736,0.036492379,0.036577313,0.036551176,0.036481459,0.036418681,0.036423555,0.036608535,0.03726259,0.0358771,,,,,,
RR1,1,0.878095431,0.771051586,0.677056875,0.594520548,0.522045777,0.458406011,0.402524224,0.353454682,0.310366941,0.272531793,0.239308922,0.210136071,0.184519524,0.162025751,0.142274072,0.124930212,0.109700649,0.096327638,0.084584859,0.074273578,0.06521929,0.05726876,0.050287437,0.044157168,,,,,,
RR,1,0.879086703,0.774539607,0.683968485,0.605354011,0.536987236,0.477419373,0.425420079,0.379942725,0.340095448,0.305116978,0.274356424,0.247256335,0.2233385,0.202191999,0.183463163,0.1668471,0.152080543,0.138935808,0.127215669,0.116749018,0.107387174,0.099000749,0.091476969,0.084717398,,,,,,
Variance pc cons,0,0.0005,0.001,0.0015,0.002,0.0025,0.003,0.0035,0.004,0.0045,0.005,0.0055,0.006,0.0065,0.007,0.0075,0.008,0.0085,0.009,0.0095,0.01,0.0105,0.011,0.0115,0.012,,,,,,
