"Results of DICE2023-b-4-3-10.csv: October 16, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
  yr0     =,2020, emshare0        =,0.2173,  emshare1        =,0.224, emshare2        =,0.2824,   emshare3        =,0.2763,   tau0    =,1000000.0000000000,   tau1    =,394.4,   tau2    =,36.53,   tau3    =,4.304,   teq1    =,0.324,   teq2    =,0.44,   d1      =,236,   d2      =,4.07,IRF0       =,32.4,   irC     =,0.019,   irT     =,4.165
  fco22x  =,3.93,   mat0    =,886.5128014,   res00   =,150.093,   res10   =,102.698,   res20   =,39.534,   res30   =,6.1865,   mateq   =,588,   tbox10  =,0.1477,   tbox20  =,1.099454,   tatm0   =,1.24715,,,,,,,,,,,,
  a2      =,0.003467,   elasmu  =,0.95,   prstp   =,0.001,gsigma1            =,-0.015,    e1     =,37.56,expcost2           =,2.6,   gback   =,-0.012,   limmiu2050      =,1,   limmiu2100      =,1.1,   cprice1         =,6,   gcprice         =,0.025,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCENARIO: T < 2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results of DICE2023-opt-b-4-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp limit 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is optimal if ifopt = 1 and baseline if ifopt = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ifopt =,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,
Year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,,,,,,
Objective function (2019$),2872.668719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial CO2 GtCO2/yr,37.3362001,38.07828601,34.44921927,30.94620881,29.93016766,28.32085742,25.80561616,23.25719242,19.781322,15.22912069,9.688060176,4.828551242,4.753626989,3.769089993,2.820911691,1.970202871,1.18897846,3.437131625,2.614025633,2.340693044,1.964392221,1.627559994,1.312803007,-9.312730174,14.37253109,,,,,,
Atmospheric concentration C (ppm),416.2031931,429.8883525,441.1479216,450.5022025,459.5110829,467.7362802,474.7279444,480.576333,484.812522,486.9408209,486.5480358,484.1785008,482.5696804,480.8358809,478.9402269,476.9069543,474.7488941,474.145912,473.0845997,472.0157585,470.8807388,469.7050685,468.4951415,461.416678,468.7578986,,,,,,
Atmospheric concentrations GtC,886.5128014,915.6621909,939.6450731,959.5696913,978.7586067,996.2782769,1011.170522,1023.627589,1032.650672,1037.183948,1036.347316,1031.300207,1027.873419,1024.180426,1020.142683,1015.811813,1011.215144,1009.930792,1007.670197,1005.393566,1002.975974,1000.471796,997.8946513,982.8175242,998.4543241,,,,,,
Atmospheric temperaturer (deg c above preind) ,1.24715,1.424733126,1.546054086,1.638511701,1.717531976,1.788315729,1.850607989,1.904462472,1.948509736,1.980263534,1.99712262,2,2,2,2,2,2,2,2,2,2,2,2,1.977317553,2,,,,,,
Total forcings w/m2,2.791838464,3.01356484,3.194121335,3.33383838,3.456645831,3.564971839,3.65345908,3.722817067,3.768978845,3.785729065,3.767602756,3.720363422,3.678493663,3.640708714,3.604269774,3.569128895,3.535239836,3.502558004,3.471040393,3.440645531,3.411333423,3.383065496,3.355804556,3.258184162,3.326087747,,,,,,
